pref,Positive,Tested,Percent
滋賀県,96,1314.0,7.31
京都府,323,4343.0,7.44
大阪府,1641,12492.0,13.14
兵庫県,650,7621.0,8.53
奈良県,85,1605.0,5.3
和歌山県,62,3077.0,2.01
鳥取県,3,1603.0,0.19
島根県,23,830.0,2.77
岡山県,23,1131.0,2.03
広島県,156,5021.0,3.11
山口県,34,1290.0,2.64
徳島県,5,469.0,1.07
香川県,28,1643.0,1.7
愛媛県,47,1116.0,4.21
高知県,74,1446.0,5.12
福岡県,645,9400.0,6.86
佐賀県,42,1077.0,3.9
長崎県,17,2050.0,0.83
熊本県,47,3178.0,1.48
大分県,60,3175.0,1.89
宮崎県,17,1122.0,1.52
鹿児島県,10,1287.0,0.78
沖縄県,142,2155.0,6.59
北海道,790,7054.0,11.2
青森県,26,643.0,4.04
岩手県,0,343.0,0.0
宮城県,88,1910.0,4.61
秋田県,16,852.0,1.88
山形県,68,2246.0,3.03
福島県,74,1844.0,4.01
茨城県,165,4835.0,3.41
栃木県,54,2015.0,2.68
群馬県,146,1654.0,8.83
埼玉県,857,8050.0,10.65
千葉県,816,6374.0,12.8
東京都,4331,11254.0,38.48
神奈川県,1042,6002.0,17.36
新潟県,77,3044.0,2.53
富山県,201,2392.0,8.4
石川県,254,1977.0,12.85
福井県,122,1771.0,6.89
山梨県,54,2358.0,2.29
長野県,66,1818.0,3.63
岐阜県,149,2404.0,6.2
静岡県,73,2780.0,2.63
愛知県,491,7403.0,6.63
三重県,45,1938.0,2.32
